P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
alpestre-1_5	lineapetalum	andersonii	0.252777	6.07601	1.23212e-09	0.0783978	124.318	135.483	80.809
alpestre-1_5	multiplex	andersonii	0.131686	3.40988	0.000649909	0.0309232	151.215	100.658	77.2325
novomexicanum	alpestre-1_5	andersonii	0.0289819	0.528541	0.597124	0.00322859	259.883	41.0827	38.7684
alpestre-1_5	andersonii	nudicaule	0.0298949	0.637498	0.523801	0.00669748	246.459	79.8164	75.1827
alpestre-1_5	nuttallianum-14	andersonii	0.278703	6.75449	1.43336e-11	0.0871613	111.026	131.688	74.283
alpestre-1_5	nuttallianum-7_9	andersonii	0.327799	9.00661	2.3e-16	0.1241	101.032	175.837	89.018
alpestre-1_5	occidentale	andersonii	0.0536388	1.08475	0.278031	0.00837287	199.516	58.0771	52.1639
parryi	alpestre-1_5	andersonii	0.255611	5.37359	7.71823e-08	0.0586389	155.501	97.1224	57.579
alpestre-1_5	andersonii	patens	0.113553	2.3314	0.0197324	0.0258851	396.832	68.2622	54.3403
ramosum-1_5	alpestre-1_5	andersonii	0.0157007	0.316556	0.75158	0.0012777	468.152	31.1102	30.1484
alpestre-1_5	ramosum-3	andersonii	0.0889792	1.54999	0.121144	0.00993016	268.766	42.7925	35.7995
ramosum-4_10	alpestre-1_5	andersonii	0.140468	2.74605	0.00603182	0.0143855	261.887	43.8233	33.0282
sapellonis	alpestre-1_5	andersonii	0.0338772	0.634287	0.525893	0.00365818	271.948	41.0885	38.3958
andersonii	scaposum	alpestre-1_5	0.236793	5.83805	5.28157e-09	0.0795173	200.059	118.694	73.2444
scopulorum	alpestre-1_5	andersonii	0.0331794	0.634848	0.525528	0.00415598	229.06	44.8166	41.9382
stachydeum	alpestre-1_5	andersonii	0.0878347	1.72013	0.0854095	0.018384	148.41	77.7934	65.2309
alpestre-1_5	andersonii	trolliifolium	0.0513046	1.18231	0.237082	0.0129779	173.62	103.613	93.5004
alpestre-1_5	viridescens	andersonii	0.249272	5.14709	2.6456e-07	0.055938	142.342	94.4476	56.7567
alpestre-1_5	xantholeucum	andersonii	0.164632	3.9719	7.13002e-05	0.0495013	124.126	120.015	86.0844
andesicola	alpestre-1_5	barbeyi	0.00534157	0.117964	0.906096	0.0012364	169.73	82.9304	82.0492
andesicola	alpestre-1_5	bicolor	0.0784358	1.49308	0.135417	0.00749615	271.808	53.3859	45.6202
alpestre-1_5	andesicola	brachycentrum	0.030705	0.629017	0.529338	0.00506766	263.758	67.3398	63.3277
andesicola	alpestre-1_5	californicum	0.0495638	0.838341	0.401839	0.00258557	233.793	50.4769	45.7095
alpestre-1_5	andesicola	cardinale	0.00193816	0.0336125	0.973186	0.000112459	204.808	50.2593	50.0648
andesicola	alpestre-1_5	carolinianum	0.0799921	1.45119	0.146727	0.0054024	157.37	66.7795	56.8872
andesicola	alpestre-1_5	distichum-1_5	0.0220413	0.452154	0.651158	0.0024921	246.915	64.2732	61.501
andesicola	alpestre-1_5	distichum-2_6	0.0495719	1.00291	0.315905	0.00567237	311.418	60.6694	54.9385
andesicola	alpestre-1_5	exaltatum	0.0709173	1.23488	0.216874	0.0072103	132.155	51.1753	44.3976
geraniifolium	andesicola	alpestre-1_5	0.141377	3.08414	0.00204142	0.0513396	142.832	102.99	77.4766
andesicola	alpestre-1_5	geyeri	0.107321	2.32493	0.0200758	0.0221025	153.615	86.3134	69.5825
andesicola	alpestre-1_5	glaucescens	0.0759473	1.58015	0.114071	0.0170844	178.602	86.6992	74.4596
alpestre-1_5	andesicola	glaucum-1_2	0.030164	0.547413	0.584095	0.00433094	157.751	59.4401	55.9592
andesicola	alpestre-1_5	glaucum-3_4	0.0511391	1.06379	0.287424	0.0117028	172.242	66.6237	60.1411
andesicola	alpestre-1_5	gypsophilum	0.074495	1.40684	0.159476	0.00462541	305.475	57.9954	49.9537
alpestre-1_5	andesicola	hesperium	0.0280362	0.504056	0.614222	0.0016074	240.44	54.3339	51.3704
alpestre-1_5	andesicola	lineapetalum	0.0366822	0.70798	0.478958	0.00312044	282.407	56.0807	52.112
andesicola	alpestre-1_5	multiplex	0.102479	2.2517	0.024341	0.0125749	267.192	67.1454	54.6626
andesicola	novomexicanum	alpestre-1_5	0.0926686	2.01041	0.0443881	0.0297027	226.066	87.451	72.6176
andesicola	alpestre-1_5	nudicaule	0.030149	0.530236	0.595949	0.00277087	543.269	45.3802	42.724
andesicola	alpestre-1_5	nuttallianum-14	0.0921641	1.71721	0.0859405	0.00840178	261.751	48.553	40.3585
andesicola	alpestre-1_5	nuttallianum-7_9	0.0985749	2.02021	0.0433616	0.0136958	303.434	56.1098	46.0404
andesicola	alpestre-1_5	occidentale	0.0320701	0.686068	0.49267	0.00679561	164.468	73.9453	69.3498
alpestre-1_5	andesicola	parryi	0.0602251	1.10556	0.268916	0.00336134	233.099	58.6201	51.9604
andesicola	alpestre-1_5	patens	0.0441119	0.709488	0.478022	0.00421252	806.612	34.7648	31.8273
alpestre-1_5	ramosum-1_5	andesicola	0.0696521	1.72395	0.0847166	0.0131398	355.998	74.4792	64.7795
andesicola	ramosum-3	alpestre-1_5	0.203741	4.22772	2.36076e-05	0.0752639	181.306	103.188	68.2578
andesicola	alpestre-1_5	ramosum-4_10	0.0928732	2.21282	0.0269099	0.0384855	103.58	101.914	84.5929
andesicola	sapellonis	alpestre-1_5	0.162571	3.75615	0.000172545	0.0528811	242.432	94.7032	68.2171
alpestre-1_5	andesicola	scaposum	0.0247203	0.462697	0.643582	0.00268441	255.886	50.3044	47.8773
scopulorum	andesicola	alpestre-1_5	0.124823	2.72771	0.00637762	0.0459943	132.169	92.8983	72.2802
andesicola	alpestre-1_5	stachydeum	0.0327124	0.572651	0.566881	0.00270447	213.159	56.5619	52.9786
andesicola	alpestre-1_5	trolliifolium	0.0917729	1.7069	0.0878407	0.00836073	421.694	51.4688	42.816
andesicola	alpestre-1_5	viridescens	0.132356	2.37659	0.0174733	0.010641	213.561	63.408	48.5851
andesicola	alpestre-1_5	xantholeucum	0.0830345	1.59596	0.110497	0.00805761	263.442	52.8747	44.7671
alpestre-1_5	barbeyi	bicolor	0.136904	3.00848	0.00262558	0.0191359	211.252	84.1729	63.901
brachycentrum	alpestre-1_5	barbeyi	0.286171	7.6047	2.85566e-14	0.101987	88.4931	189.535	105.193
barbeyi	alpestre-1_5	californicum	0.0424995	0.799958	0.423735	0.00296908	184.353	67.3288	61.8392
barbeyi	alpestre-1_5	cardinale	0.14954	2.84659	0.00441898	0.0115384	163.504	78.2383	57.8828
carolinianum	alpestre-1_5	barbeyi	0.289102	6.32908	2.46635e-10	0.085445	99.8326	118.981	65.6139
alpestre-1_5	barbeyi	distichum-1_5	0.0111556	0.248694	0.803597	0.00165702	186.515	86.6062	84.6953
alpestre-1_5	barbeyi	distichum-2_6	0.155223	3.51265	0.000443657	0.0240014	242.965	93.9027	68.668
exaltatum	alpestre-1_5	barbeyi	0.16457	3.36756	0.000758359	0.0411465	80.7714	90.3915	64.8443
geraniifolium	alpestre-1_5	barbeyi	0.126716	2.92797	0.00341181	0.0298094	147.72	96.5149	74.8059
barbeyi	geyeri	alpestre-1_5	0.0136384	0.320676	0.748456	0.00503127	107.101	112.438	109.413
glaucescens	barbeyi	alpestre-1_5	0.0532241	1.24616	0.212706	0.0181021	154.798	109.905	98.7971
glaucum-1_2	alpestre-1_5	barbeyi	0.220094	4.90321	9.42815e-07	0.0586887	86.076	113.775	72.727
glaucum-3_4	alpestre-1_5	barbeyi	0.106698	2.59813	0.00937327	0.0298831	93.2385	119.533	96.484
barbeyi	alpestre-1_5	gypsophilum	0.111826	2.32752	0.0199376	0.00834683	276.942	73.702	58.8763
barbeyi	alpestre-1_5	hesperium	0.056034	1.1189	0.263182	0.00418571	191.309	74.0731	66.2124
alpestre-1_5	barbeyi	lineapetalum	0.0452674	0.966153	0.333967	0.00507769	227.247	76.7934	70.142
alpestre-1_5	barbeyi	multiplex	0.0700644	1.83099	0.0671025	0.0130832	208.221	101.692	88.3754
novomexicanum	alpestre-1_5	barbeyi	0.0417607	0.963659	0.335217	0.00872538	182.871	78.0255	71.7699
alpestre-1_5	barbeyi	nudicaule	0.00971314	0.197741	0.843248	0.00107968	480.054	54.1063	53.0653
barbeyi	alpestre-1_5	nuttallianum-14	0.0264132	0.539101	0.589817	0.00336488	210.889	65.2116	61.8554
alpestre-1_5	barbeyi	nuttallianum-7_9	0.097495	2.23806	0.0252174	0.0184414	242.319	77.6299	63.8375
occidentale	barbeyi	alpestre-1_5	0.0520663	1.24654	0.212565	0.0161443	181.809	99.2914	89.4636
barbeyi	alpestre-1_5	parryi	0.0298979	0.604884	0.545256	0.00201866	180.089	69.947	65.8859
barbeyi	alpestre-1_5	patens	0.0470993	0.841432	0.400106	0.00531944	724.696	42.441	38.6229
alpestre-1_5	ramosum-1_5	barbeyi	0.0276023	0.698461	0.484889	0.00419534	449.51	59.314	56.1276
ramosum-3	alpestre-1_5	barbeyi	0.0172153	0.364879	0.715202	0.00387998	205.087	79.3584	76.6723
alpestre-1_5	ramosum-4_10	barbeyi	0.0346486	0.855548	0.392248	0.00757604	171.737	83.3355	77.7539
sapellonis	alpestre-1_5	barbeyi	0.0146373	0.342572	0.73192	0.00304516	202.096	79.7044	77.4047
barbeyi	alpestre-1_5	scaposum	0.0241568	0.51422	0.607098	0.00359673	206.719	71.2344	67.874
scopulorum	alpestre-1_5	barbeyi	0.162723	3.70232	0.000213637	0.0348402	141.095	87.3438	62.8962
alpestre-1_5	barbeyi	stachydeum	0.00192696	0.0373465	0.970209	0.000202029	171.14	70.7714	70.4992
barbeyi	alpestre-1_5	trolliifolium	0.0682419	1.39104	0.164214	0.00760982	358.403	63.5825	55.4589
barbeyi	alpestre-1_5	viridescens	0.000493523	0.00977612	0.9922	5.2343e-05	159.982	74.6139	74.5403
barbeyi	alpestre-1_5	xantholeucum	0.0303387	0.642767	0.520375	0.00389764	214.447	69.0662	64.9988
brachycentrum	alpestre-1_5	bicolor	0.257547	6.09753	1.07721e-09	0.0479409	184.5	132.946	78.4909
californicum	alpestre-1_5	bicolor	0.243503	5.06097	4.17123e-07	0.049611	135.817	122.074	74.2648
cardinale	alpestre-1_5	bicolor	0.261485	5.39269	6.94114e-08	0.0471991	152.506	107.776	63.0959
carolinianum	alpestre-1_5	bicolor	0.0833466	1.66647	0.0956198	0.0141838	179.633	79.8954	67.602
bicolor	distichum-1_5	alpestre-1_5	0.210084	5.18333	2.17957e-07	0.0769903	155.269	151.132	98.6556
