P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
brachycentrum	bicolor	andersonii	0.415304	11.5322	2.3e-16	0.143738	133.615	195.92	80.9392
californicum	bicolor	andersonii	0.357966	8.76483	2.3e-16	0.123767	114.551	161.124	76.1781
cardinale	bicolor	andersonii	0.355257	8.99915	2.3e-16	0.121991	107.972	154.946	73.7131
carolinianum	bicolor	andersonii	0.244593	5.95953	2.52963e-09	0.0839213	113.453	134.592	81.6905
distichum-1_5	bicolor	andersonii	0.0891589	2.40066	0.0163657	0.029644	157.428	126.851	106.082
bicolor	distichum-2_6	andersonii	0.112154	3.29205	0.000994586	0.0444583	174.912	152.747	121.94
exaltatum	bicolor	andersonii	0.252447	5.80508	6.43369e-09	0.070042	110.795	114.121	68.1159
geraniifolium	bicolor	andersonii	0.269095	6.74609	1.51884e-11	0.0817603	114.863	131.995	76.0195
geyeri	bicolor	andersonii	0.206541	5.18552	2.15416e-07	0.0605195	137.579	127.061	83.5595
glaucescens	bicolor	andersonii	0.210665	5.40396	6.51843e-08	0.0597403	138.53	122.46	79.842
glaucum-1_2	bicolor	andersonii	0.26498	6.40458	1.50784e-10	0.0740838	122.283	118.974	69.1299
glaucum-3_4	bicolor	andersonii	0.27973	7.2109	5.55851e-13	0.0776892	131.485	131.476	73.9987
gypsophilum	bicolor	andersonii	0.508326	15.5098	2.3e-16	0.204417	112.201	240.427	78.3727
hesperium	bicolor	andersonii	0.397592	10.4122	2.3e-16	0.139203	114.577	174.634	75.273
bicolor	lineapetalum	andersonii	0.0318083	0.838556	0.401719	0.0115886	170.333	125.53	117.79
multiplex	bicolor	andersonii	0.107848	3.0998	0.0019365	0.0351295	153.546	135.7	109.28
novomexicanum	bicolor	andersonii	0.260606	6.47256	9.63593e-11	0.0758928	118.24	129.383	75.8878
andersonii	bicolor	nudicaule	0.0248946	0.598289	0.549647	0.00558208	302.081	81.5883	77.6248
bicolor	nuttallianum-14	andersonii	0.0264452	0.686003	0.492711	0.00936744	177.547	114.993	109.068
bicolor	nuttallianum-7_9	andersonii	0.129202	3.85574	0.000115382	0.0515287	180.005	151.808	117.069
occidentale	bicolor	andersonii	0.219331	5.58697	2.31072e-08	0.0637519	137.135	123.656	79.1701
parryi	bicolor	andersonii	0.369516	9.65502	2.3e-16	0.138146	111.477	173.727	79.9787
bicolor	andersonii	patens	0.0385443	0.851231	0.394641	0.00909085	462.56	63.5013	58.7878
ramosum-1_5	bicolor	andersonii	0.250664	6.40063	1.54735e-10	0.0707498	120.003	126.329	75.6901
ramosum-3	bicolor	andersonii	0.222672	5.28696	1.24367e-07	0.063911	118.728	119.089	75.7122
ramosum-4_10	bicolor	andersonii	0.294139	7.55307	4.25114e-14	0.0834461	121.068	134.179	73.1853
sapellonis	bicolor	andersonii	0.259005	6.44881	1.12728e-10	0.0732778	121.301	127.11	74.8112
scaposum	andersonii	bicolor	0.0878413	2.35746	0.0184003	0.0250313	207.158	126.594	106.149
scopulorum	bicolor	andersonii	0.248197	6.23806	4.43042e-10	0.075469	112.118	128.97	77.6801
stachydeum	bicolor	andersonii	0.285296	7.00493	2.47111e-12	0.0934214	96.7374	141.008	78.4093
andersonii	bicolor	trolliifolium	0.014447	0.365795	0.714518	0.00368576	223.789	102.463	99.5444
viridescens	bicolor	andersonii	0.0563228	1.3706	0.170498	0.0179743	140.755	106.815	95.4239
xantholeucum	bicolor	andersonii	0.0546153	1.46143	0.143898	0.0191923	167.9	126.973	113.822
brachycentrum	californicum	andersonii	0.127746	2.7446	0.00605849	0.0377452	165.931	120.803	93.4349
brachycentrum	cardinale	andersonii	0.108219	2.37879	0.0173697	0.0301185	156.348	108.174	87.0477
brachycentrum	carolinianum	andersonii	0.307457	6.76029	1.3772e-11	0.0793997	163.428	119.081	63.0755
brachycentrum	distichum-1_5	andersonii	0.38153	10.1687	2.3e-16	0.124448	166.379	182.999	81.9232
brachycentrum	distichum-2_6	andersonii	0.438862	13.3744	2.3e-16	0.18774	131.442	248.387	96.8676
brachycentrum	exaltatum	andersonii	0.278376	5.78598	7.20908e-09	0.0534304	184.481	88.0781	49.7188
brachycentrum	geraniifolium	andersonii	0.293521	6.44378	1.1653e-10	0.0619393	182.688	103.853	56.7211
brachycentrum	geyeri	andersonii	0.321522	7.41284	1.23623e-13	0.0701248	199.933	116.267	59.6921
brachycentrum	glaucescens	andersonii	0.370828	8.78401	2.3e-16	0.0858369	237.189	127.314	58.4334
brachycentrum	glaucum-1_2	andersonii	0.307473	6.55528	5.5538e-11	0.0609371	197.672	96.0648	50.8825
brachycentrum	glaucum-3_4	andersonii	0.312696	7.34565	2.04762e-13	0.0576721	248.662	99.3707	52.0286
gypsophilum	brachycentrum	andersonii	0.101295	2.59823	0.00937049	0.0363446	160.24	156.306	127.553
brachycentrum	hesperium	andersonii	0.0228419	0.523595	0.60056	0.00641818	162.805	104.718	100.041
brachycentrum	lineapetalum	andersonii	0.395171	10.5205	2.3e-16	0.147534	132.835	200.303	86.8346
brachycentrum	multiplex	andersonii	0.354869	9.97279	2.3e-16	0.108023	162.822	174.822	83.2429
brachycentrum	novomexicanum	andersonii	0.315124	7.06971	1.55258e-12	0.062077	182.414	100.092	52.1246
brachycentrum	andersonii	nudicaule	0.245067	5.86218	4.56826e-09	0.0736213	255.035	145.059	87.9553
brachycentrum	nuttallianum-14	andersonii	0.42734	11.6017	2.3e-16	0.163543	115.06	202.984	81.4388
brachycentrum	nuttallianum-7_9	andersonii	0.448353	13.754	2.3e-16	0.200765	101.883	256.199	97.5805
brachycentrum	occidentale	andersonii	0.39639	9.24005	2.3e-16	0.0841263	266.767	116.716	50.4523
brachycentrum	parryi	andersonii	0.103525	2.34695	0.0189279	0.0320284	155.212	122.649	99.6372
brachycentrum	andersonii	patens	0.380958	8.94067	2.3e-16	0.106321	410.233	113.906	51.0608
brachycentrum	ramosum-1_5	andersonii	0.351282	8.15666	3.44451e-16	0.0692214	208.598	106.89	51.3153
brachycentrum	ramosum-3	andersonii	0.359181	7.85874	3.88014e-15	0.0732649	191.802	105.715	49.842
brachycentrum	ramosum-4_10	andersonii	0.305426	6.88811	5.65399e-12	0.0597988	205.04	103.45	55.0422
brachycentrum	sapellonis	andersonii	0.310364	7.0714	1.53384e-12	0.0610946	201.206	101.904	53.6313
andersonii	scaposum	brachycentrum	0.22589	5.62654	1.83865e-08	0.0614616	262.783	124.047	78.3318
brachycentrum	scopulorum	andersonii	0.323149	7.3321	2.26571e-13	0.0683926	175.403	106.75	54.6074
brachycentrum	stachydeum	andersonii	0.222011	4.95419	7.26322e-07	0.0590228	140.594	119.809	76.276
brachycentrum	andersonii	trolliifolium	0.344517	8.70711	2.3e-16	0.103966	181.209	180.713	88.1016
brachycentrum	viridescens	andersonii	0.421375	10.4479	2.3e-16	0.120373	146.235	149.454	60.8409
brachycentrum	xantholeucum	andersonii	0.362924	9.86782	2.3e-16	0.134571	125.657	197.204	92.1797
cardinale	californicum	andersonii	0.029029	0.540733	0.588692	0.00607438	222.387	66.7118	62.9479
californicum	carolinianum	andersonii	0.0913894	1.73248	0.0831882	0.0243771	139.37	87.5139	72.8576
californicum	distichum-1_5	andersonii	0.2272	5.46273	4.68875e-08	0.0751591	127.407	139.732	87.9931
californicum	distichum-2_6	andersonii	0.334548	8.9853	2.3e-16	0.135281	121.903	185.753	92.6232
californicum	exaltatum	andersonii	0.166692	2.88826	0.0038738	0.0367443	134.96	79.2986	56.6389
californicum	geraniifolium	andersonii	0.143916	2.68577	0.00723628	0.0329442	141.089	83.7352	62.6658
californicum	geyeri	andersonii	0.233485	4.72887	2.25776e-06	0.058792	138.425	106.021	65.8837
californicum	glaucescens	andersonii	0.280521	5.83939	5.23919e-09	0.0741416	132.753	116.307	65.349
californicum	glaucum-1_2	andersonii	0.176548	3.18906	0.00142736	0.0399398	142.562	85.0553	59.5292
californicum	glaucum-3_4	andersonii	0.182242	3.70331	0.0002128	0.0412984	149.704	94.5655	65.411
gypsophilum	californicum	andersonii	0.284687	6.86405	6.69354e-12	0.0791401	227.683	130.764	72.8096
hesperium	californicum	andersonii	0.0967609	1.91718	0.0552148	0.0172145	375.112	64.6238	53.2211
californicum	lineapetalum	andersonii	0.290599	6.92593	4.33112e-12	0.106112	110.334	156.76	86.1658
californicum	multiplex	andersonii	0.258742	6.56882	5.07155e-11	0.0814222	129	144.141	84.8829
californicum	novomexicanum	andersonii	0.226402	4.3172	1.5802e-05	0.0506653	142.264	93.6254	59.0577
andersonii	californicum	nudicaule	0.0692367	1.52698	0.126766	0.0211579	210.828	103.049	89.7031
californicum	nuttallianum-14	andersonii	0.337835	8.1466	3.74267e-16	0.12785	98.5512	159.185	78.7891
californicum	nuttallianum-7_9	andersonii	0.362656	10.0048	2.3e-16	0.15821	96.5252	198.404	92.7977
californicum	occidentale	andersonii	0.260554	5.30119	1.15052e-07	0.0653802	137.828	105.054	61.6249
parryi	californicum	andersonii	0.0880296	1.77772	0.0754498	0.0210945	225.52	84.0081	70.4144
californicum	andersonii	patens	0.0303869	0.63393	0.526127	0.00916543	352.887	74.9705	70.5486
californicum	ramosum-1_5	andersonii	0.21973	4.31349	1.607e-05	0.0501411	152.441	95.8663	61.3264
californicum	ramosum-3	andersonii	0.263213	4.80519	1.54601e-06	0.058127	151.151	92.6597	54.0451
californicum	ramosum-4_10	andersonii	0.149656	2.9441	0.0032389	0.0338802	150.739	89.2392	66.0059
californicum	sapellonis	andersonii	0.196276	3.7604	0.000169645	0.0442382	144.389	92.4653	62.1233
andersonii	scaposum	californicum	0.246403	5.71624	1.0891e-08	0.0321694	216.477	117.744	71.1901
californicum	scopulorum	andersonii	0.160469	3.06042	0.00221027	0.0367945	140.86	85.8707	62.1224
californicum	stachydeum	andersonii	0.0763651	1.42531	0.154068	0.0196385	135.063	86.3073	74.0608
californicum	andersonii	trolliifolium	0.145258	3.32712	0.00087747	0.0435654	158.834	126.279	94.2459
californicum	viridescens	andersonii	0.326059	6.81145	9.66227e-12	0.0987714	112.818	130.417	66.2818
californicum	xantholeucum	andersonii	0.232029	5.50385	3.71595e-08	0.0855545	106.937	150.154	93.5968
cardinale	carolinianum	andersonii	0.139271	2.60613	0.00915721	0.0373081	158.6	89.2159	67.4034
cardinale	distichum-1_5	andersonii	0.308451	7.36024	1.83583e-13	0.0976507	135.376	141.944	75.0208
cardinale	distichum-2_6	andersonii	0.400562	10.8959	2.3e-16	0.157163	99.9015	185.563	79.4206
cardinale	exaltatum	andersonii	0.201148	3.54258	0.000396239	0.0416846	145.924	75.908	50.4844
cardinale	geraniifolium	andersonii	0.164899	3.03372	0.00241558	0.0346303	161.344	79.1181	56.7188
cardinale	geyeri	andersonii	0.247247	5.06064	4.17843e-07	0.0576211	150.973	98.1102	59.2127
cardinale	glaucescens	andersonii	0.27488	5.74025	9.45371e-09	0.0675029	155.567	104.664	59.5301
cardinale	glaucum-1_2	andersonii	0.197309	3.61396	0.00030156	0.0434916	156.869	84.2541	56.485
cardinale	glaucum-3_4	andersonii	0.21422	4.24372	2.19849e-05	0.0447471	159.895	87.0291	56.3207
gypsophilum	cardinale	andersonii	0.252084	5.8967	3.70854e-09	0.0596445	325.688	104.444	62.388
hesperium	cardinale	andersonii	0.0332456	0.665404	0.505792	0.00713325	247.867	70.4138	65.8825
cardinale	lineapetalum	andersonii	0.364224	8.82119	2.3e-16	0.130804	127.578	163.108	76.0139
cardinale	multiplex	andersonii	0.281419	7.23331	4.71375e-13	0.0845772	133.332	136.655	76.632
cardinale	novomexicanum	andersonii	0.226245	4.23851	2.25008e-05	0.0497949	159.712	89.4345	56.4327
andersonii	cardinale	nudicaule	0.00181189	0.039815	0.968241	0.000561329	188.699	94.5512	94.2092
cardinale	nuttallianum-14	andersonii	0.399522	9.6802	2.3e-16	0.141772	107.154	156.461	67.1311
cardinale	nuttallianum-7_9	andersonii	0.411883	11.5925	2.3e-16	0.175816	98.7493	200.989	83.7215
cardinale	occidentale	andersonii	0.282768	5.74646	9.11321e-09	0.0670811	156.723	100.365	56.117
parryi	cardinale	andersonii	0.0648559	1.29708	0.194605	0.0137244	330.064	70.3785	61.8056
cardinale	andersonii	patens	0.097719	2.01203	0.0442163	0.0282805	361.286	78.0781	64.1771
cardinale	ramosum-1_5	andersonii	0.263937	5.24281	1.58146e-07	0.0553902	166.89	89.27	51.987
cardinale	ramosum-3	andersonii	0.288763	5.15633	2.51841e-07	0.0610692	160.905	88.184	48.6667
cardinale	ramosum-4_10	andersonii	0.227434	4.4023	1.07108e-05	0.0470104	166.426	86.8712	54.6781
cardinale	sapellonis	andersonii	0.213205	4.13383	3.56763e-05	0.0449501	163.575	86.0663	55.8163
andersonii	scaposum	cardinale	0.270491	6.63735	3.19364e-11	0.0372453	213.569	123.744	71.0532
cardinale	scopulorum	andersonii	0.232391	4.34934	1.36546e-05	0.0482739	159.856	81.0885	50.5069
cardinale	stachydeum	andersonii	0.136732	2.57202	0.0101107	0.0349078	132.148	89.0243	67.6076
cardinale	andersonii	trolliifolium	0.16295	3.73761	0.000185778	0.0494117	155.273	125.818	90.5596
cardinale	viridescens	andersonii	0.372735	7.75664	8.72089e-15	0.104587	123.617	121.682	55.6019
cardinale	xantholeucum	andersonii	0.310888	7.39766	1.38609e-13	0.10913	123.627	150.279	78.999
carolinianum	distichum-1_5	andersonii	0.142295	3.27358	0.00106194	0.0431914	134.383	112.256	84.2888
carolinianum	distichum-2_6	andersonii	0.31311	8.15373	3.52908e-16	0.127206	104.861	167.135	87.4286
carolinianum	exaltatum	andersonii	0.0320777	0.540988	0.588516	0.00542393	176.707	52.5625	49.2951
carolinianum	geraniifolium	andersonii	0.0556035	1.01183	0.31162	0.010676	165.814	61.5677	55.0816
carolinianum	geyeri	andersonii	0.0819049	1.5974	0.110176	0.0173364	182.41	74.0729	62.8576
carolinianum	glaucescens	andersonii	0.0927562	1.87262	0.0611209	0.0209992	165.146	79.3681	65.8941
carolinianum	glaucum-1_2	andersonii	0.061566	1.06271	0.287912	0.0117647	168.749	61.0231	53.945
carolinianum	glaucum-3_4	andersonii	0.0228303	0.434722	0.663764	0.00407206	177.15	59.6185	56.957
gypsophilum	carolinianum	andersonii	0.327366	7.73383	1.04359e-14	0.107496	156.612	149.228	75.6204
hesperium	carolinianum	andersonii	0.200936	4.14771	3.3582e-05	0.0489166	159.575	90.0139	59.8924
carolinianum	lineapetalum	andersonii	0.259747	6.01297	1.82154e-09	0.0929116	119.542	140.016	82.276
carolinianum	multiplex	andersonii	0.171252	4.19428	2.73741e-05	0.0456966	133.776	104.137	73.6846
carolinianum	novomexicanum	andersonii	0.0882337	1.60824	0.107782	0.0162537	167.692	62.9631	52.753
carolinianum	andersonii	nudicaule	0.0293242	0.614074	0.539166	0.00794689	212.878	84.3715	79.5642
carolinianum	nuttallianum-14	andersonii	0.222215	5.21768	1.81177e-07	0.0827406	103.168	138.506	88.1415
carolinianum	nuttallianum-7_9	andersonii	0.310506	8.4074	2.3e-16	0.136857	93.4332	182.275	95.9002
carolinianum	occidentale	andersonii	0.098191	1.9358	0.0528922	0.0210978	171.605	74.1344	60.8775
parryi	carolinianum	andersonii	0.198121	4.10081	4.11699e-05	0.0531681	153.461	99.6985	66.7263
carolinianum	andersonii	patens	0.146992	2.8548	0.00430636	0.0378966	354.177	70.9931	52.7969
carolinianum	ramosum-1_5	andersonii	0.0816874	1.55641	0.11961	0.0143018	175.051	61.6341	52.3251
carolinianum	ramosum-3	andersonii	0.118963	2.02475	0.0428935	0.0223642	173.543	65.3194	51.4306
carolinianum	ramosum-4_10	andersonii	0.00675084	0.128496	0.897756	0.00124324	183.431	60.7134	59.8991
carolinianum	sapellonis	andersonii	0.0278918	0.510299	0.609842	0.00504895	178.644	60.2378	56.9688
andersonii	scaposum	carolinianum	0.227997	5.38612	7.19954e-08	0.0276939	184.922	115.238	72.4466
carolinianum	scopulorum	andersonii	0.0583633	1.12544	0.260404	0.0114853	172.174	64.697	57.5616
carolinianum	stachydeum	andersonii	0.0278554	0.538518	0.59022	0.00742539	127.465	82.3837	77.9184
carolinianum	andersonii	trolliifolium	0.0866271	1.94296	0.052021	0.0262402	168.676	113.166	95.1224
carolinianum	viridescens	andersonii	0.278613	5.63691	1.73127e-08	0.0728015	124.36	101.664	57.3582
carolinianum	xantholeucum	andersonii	0.191478	4.50901	6.51303e-06	0.0686331	117.003	134.254	91.1034
distichum-1_5	distichum-2_6	andersonii	0.19131	5.63707	1.72965e-08	0.070554	192.866	155.466	105.534
exaltatum	distichum-1_5	andersonii	0.216178	4.84573	1.26145e-06	0.0545101	132.062	102.17	65.8483
geraniifolium	distichum-1_5	andersonii	0.202395	4.76507	1.88787e-06	0.0507878	146.194	105.735	70.1387
geyeri	distichum-1_5	andersonii	0.128882	3.16445	0.00155377	0.0349802	151.014	112.079	86.4876
glaucescens	distichum-1_5	andersonii	0.14194	3.61809	0.000296784	0.0410368	150.839	120.032	90.1927
glaucum-1_2	distichum-1_5	andersonii	0.160086	3.69546	0.000219491	0.0420234	155.918	105.066	76.0691
glaucum-3_4	distichum-1_5	andersonii	0.192431	4.62777	3.6963e-06	0.047981	152.003	112.379	76.1084
gypsophilum	distichum-1_5	andersonii	0.43535	12.1808	2.3e-16	0.16567	143.649	222.402	87.4902
hesperium	distichum-1_5	andersonii	0.335036	8.38846	2.3e-16	0.104406	146.107	149.468	74.4479
distichum-1_5	lineapetalum	andersonii	0.111373	2.95568	0.00311982	0.0346398	216.116	121.106	96.8336
multiplex	distichum-1_5	andersonii	0.0443463	1.31138	0.18973	0.00957349	491.839	86.5737	79.2213
novomexicanum	distichum-1_5	andersonii	0.16054	3.774	0.000160652	0.0422207	144.169	108.359	78.38
distichum-1_5	andersonii	nudicaule	0.0747299	1.81754	0.0691345	0.0182896	293	94.5859	81.4321
distichum-1_5	nuttallianum-14	andersonii	0.146609	3.83671	0.000124695	0.0483804	201.423	124.692	92.8051
distichum-1_5	nuttallianum-7_9	andersonii	0.22625	6.91344	4.73051e-12	0.0919101	162.085	175.283	110.602
occidentale	distichum-1_5	andersonii	0.101279	2.50832	0.0121306	0.0284042	156.206	109.639	89.4735
parryi	distichum-1_5	andersonii	0.308129	7.69402	1.42585e-14	0.106378	141.806	158.421	83.7891
distichum-1_5	andersonii	patens	0.123002	2.86391	0.00418441	0.0310049	466.285	77.1118	60.2198
ramosum-1_5	distichum-1_5	andersonii	0.141025	3.35483	0.00079413	0.0359541	157.243	107.35	80.8141
ramosum-3	distichum-1_5	andersonii	0.103397	2.33666	0.019457	0.0278321	144.47	103.545	84.1387
ramosum-4_10	distichum-1_5	andersonii	0.183999	4.46254	8.09923e-06	0.0461203	152.447	109.987	75.802
sapellonis	distichum-1_5	andersonii	0.154605	3.67939	0.000233795	0.0397572	158.429	108.536	79.4694
andersonii	scaposum	distichum-1_5	0.157574	4.64917	3.33271e-06	0.0515693	216.29	158.128	115.078
scopulorum	distichum-1_5	andersonii	0.156948	3.70741	0.000209389	0.0412772	139.794	103.676	75.5474
stachydeum	distichum-1_5	andersonii	0.179538	4.19497	2.72903e-05	0.0560881	119.762	124.629	86.6892
distichum-1_5	andersonii	trolliifolium	0.0348959	0.910846	0.362376	0.00956807	215.609	111.764	104.226
distichum-1_5	viridescens	andersonii	0.0759852	1.71648	0.0860737	0.0165374	441.881	79.8296	68.5546
distichum-1_5	xantholeucum	andersonii	0.0426026	1.1625	0.245031	0.0132847	203.343	112.8	103.582
exaltatum	distichum-2_6	andersonii	0.31603	8.15875	3.38488e-16	0.11343	105.045	153.824	79.9458
geraniifolium	distichum-2_6	andersonii	0.33323	8.98017	2.3e-16	0.120565	101.419	166.969	83.5041
geyeri	distichum-2_6	andersonii	0.289139	7.97931	1.47148e-15	0.107028	128.174	172.072	94.8843
glaucescens	distichum-2_6	andersonii	0.264855	7.43636	1.03497e-13	0.0983857	132.726	167.181	97.1669
glaucum-1_2	distichum-2_6	andersonii	0.324476	8.79583	2.3e-16	0.113755	115.789	156.086	79.6089
glaucum-3_4	distichum-2_6	andersonii	0.313608	8.79022	2.3e-16	0.110854	117.809	172.227	89.9931
gypsophilum	distichum-2_6	andersonii	0.484833	15.365	2.3e-16	0.221869	114.035	267.562	92.8314
hesperium	distichum-2_6	andersonii	0.418042	11.8873	2.3e-16	0.170939	110.924	204.778	84.0399
lineapetalum	distichum-2_6	andersonii	0.0997921	2.84799	0.00439966	0.0377302	190.872	138.124	113.058
multiplex	distichum-2_6	andersonii	0.191313	5.7752	7.68617e-09	0.0687183	197.988	161.428	109.58
novomexicanum	distichum-2_6	andersonii	0.28482	7.55915	4.05706e-14	0.104384	100.679	166.981	92.9481
distichum-2_6	andersonii	nudicaule	0.041331	0.999197	0.317699	0.00898794	325.438	81.1181	74.6788
nuttallianum-14	distichum-2_6	andersonii	0.0801534	2.29863	0.0215257	0.0295165	214.484	124.057	105.646
distichum-2_6	nuttallianum-7_9	andersonii	0.0448352	1.4446	0.14857	0.0180057	249.326	138.407	126.529
occidentale	distichum-2_6	andersonii	0.274558	7.56748	3.80541e-14	0.105314	131.249	171.15	97.4135
parryi	distichum-2_6	andersonii	0.396403	11.282	2.3e-16	0.170331	114.441	206.906	89.4354
andersonii	distichum-2_6	patens	0.0393646	0.929401	0.352681	0.00927867	494.163	64.8171	59.9073
ramosum-1_5	distichum-2_6	andersonii	0.29112	8.00347	1.20954e-15	0.107323	115.308	171.729	94.2867
ramosum-3	distichum-2_6	andersonii	0.261468	6.98262	2.89724e-12	0.0974463	109.323	160.752	94.1126
ramosum-4_10	distichum-2_6	andersonii	0.341568	9.66318	2.3e-16	0.121982	112.888	176.814	86.7789
sapellonis	distichum-2_6	andersonii	0.317881	8.67825	2.3e-16	0.11201	114.571	166.517	86.1873
scaposum	andersonii	distichum-2_6	0.249834	7.09771	1.2684e-12	0.087217	218.225	167.789	100.709
scopulorum	distichum-2_6	andersonii	0.323551	8.85098	2.3e-16	0.116897	104.41	164.296	83.9694
stachydeum	distichum-2_6	andersonii	0.292237	7.84686	4.2659e-15	0.114148	101.215	169.751	92.9733
andersonii	distichum-2_6	trolliifolium	0.103958	2.71366	0.00665453	0.0284984	249.559	120.269	97.6178
viridescens	distichum-2_6	andersonii	0.152742	4.04045	5.33481e-05	0.0571302	150.561	137.988	101.42
xantholeucum	distichum-2_6	andersonii	0.186384	5.34239	9.17308e-08	0.068374	185.005	148.252	101.67
exaltatum	geraniifolium	andersonii	0.0251032	0.412596	0.679902	0.00318497	171.683	41.1901	39.1727
exaltatum	geyeri	andersonii	0.144438	2.58643	0.00969762	0.0195346	187.639	51.5226	38.5174
exaltatum	glaucescens	andersonii	0.131587	2.37797	0.0174084	0.0204717	164.569	58.3082	44.7474
exaltatum	glaucum-1_2	andersonii	0.0978233	1.44372	0.148818	0.0116974	211.74	41.4902	34.0961
exaltatum	glaucum-3_4	andersonii	0.0370255	0.637536	0.523776	0.00380895	219.915	36.2747	33.6845
gypsophilum	exaltatum	andersonii	0.349179	8.06969	7.04731e-16	0.0921786	147.41	123.033	59.349
hesperium	exaltatum	andersonii	0.222213	4.3418	1.41323e-05	0.0454957	140.682	80.5833	51.2813
exaltatum	lineapetalum	andersonii	0.250709	5.60744	2.05337e-08	0.0795279	120.036	126.337	75.6875
exaltatum	multiplex	andersonii	0.172256	4.12409	3.72207e-05	0.039775	134.098	92.9484	65.632
exaltatum	novomexicanum	andersonii	0.0113314	0.186425	0.852111	0.00147398	164.688	43.1532	42.1862
exaltatum	andersonii	nudicaule	0.0467939	0.932325	0.351169	0.0104834	208.927	73.7326	67.1406
exaltatum	nuttallianum-14	andersonii	0.298859	6.83271	8.33277e-12	0.093549	108.519	126.722	68.4062
exaltatum	nuttallianum-7_9	andersonii	0.334873	8.91095	2.3e-16	0.131151	93.7358	170.182	84.7966
exaltatum	occidentale	andersonii	0.0981331	1.76619	0.0773635	0.0143537	168.708	51.92	42.6405
parryi	exaltatum	andersonii	0.217143	4.27093	1.94664e-05	0.0492153	132.237	86.5411	55.6626
exaltatum	andersonii	patens	0.155133	2.95125	0.00316488	0.0382183	350.142	69.5938	50.901
exaltatum	ramosum-1_5	andersonii	0.0936536	1.64765	0.0994238	0.0115241	177.234	45.2509	37.5009
exaltatum	ramosum-3	andersonii	0.142834	2.21091	0.0270423	0.0188453	173.036	48.3125	36.2361
ramosum-4_10	exaltatum	andersonii	0.00408424	0.0700084	0.944187	0.000493281	179.679	40.6325	40.3019
exaltatum	sapellonis	andersonii	0.00229819	0.0392724	0.968673	0.000291081	176.906	42.401	42.2066
andersonii	scaposum	exaltatum	0.246338	5.65745	1.53634e-08	0.0490235	181.265	109.551	66.2458
exaltatum	scopulorum	andersonii	0.0393375	0.692581	0.488573	0.00518255	174.217	44.0122	40.6806
stachydeum	exaltatum	andersonii	0.0625185	1.06791	0.28556	0.0119656	122.927	62.4045	55.0608
exaltatum	andersonii	trolliifolium	0.0412957	0.888569	0.374235	0.0108035	158.29	97.776	90.0208
exaltatum	viridescens	andersonii	0.311551	5.93807	2.88405e-09	0.0681872	123.743	88.8212	46.6233
exaltatum	xantholeucum	andersonii	0.196313	4.45189	8.5117e-06	0.0594829	117.613	117.99	79.2661
geraniifolium	geyeri	andersonii	0.0816547	1.60736	0.107976	0.0132681	188.606	61.6684	52.3576
geraniifolium	glaucescens	andersonii	0.106436	2.13111	0.0330798	0.0188484	184.096	67.7142	54.6864
geraniifolium	glaucum-1_2	andersonii	0.0237184	0.409214	0.682383	0.00339917	186.874	48.8187	46.5566
geraniifolium	glaucum-3_4	andersonii	0.0215681	0.422088	0.672961	0.00299377	184.457	50.2018	48.082
gypsophilum	geraniifolium	andersonii	0.372135	9.08457	2.3e-16	0.105746	158.227	144.511	66.1259
hesperium	geraniifolium	andersonii	0.235665	4.88481	1.03528e-06	0.0531516	156.036	92.9366	57.487
geraniifolium	lineapetalum	andersonii	0.305432	7.27098	3.56889e-13	0.0974098	120.836	141.37	75.2174
geraniifolium	multiplex	andersonii	0.216364	5.52894	3.2218e-08	0.0512695	138.969	104.265	67.1722
geraniifolium	novomexicanum	andersonii	0.0603039	1.0495	0.293946	0.0069554	247.389	42.0488	37.2658
geraniifolium	andersonii	nudicaule	0.0132952	0.281513	0.778317	0.00314478	228.571	79.1263	77.0499
geraniifolium	nuttallianum-14	andersonii	0.265327	6.323	2.56536e-10	0.0876944	103.654	133.758	77.6623
geraniifolium	nuttallianum-7_9	andersonii	0.375969	10.4339	2.3e-16	0.148359	95.8199	185.693	84.2157
geraniifolium	occidentale	andersonii	0.125312	2.42403	0.0153495	0.0196053	189.404	60.3505	46.9096
parryi	geraniifolium	andersonii	0.221102	4.45467	8.4023e-06	0.0516322	150.273	92.0321	58.704
geraniifolium	andersonii	patens	0.152725	3.00633	0.00264421	0.0359895	389.941	71.5069	52.559
geraniifolium	ramosum-1_5	andersonii	0.0713408	1.34478	0.178695	0.0083662	237.822	44.074	38.2042
geraniifolium	ramosum-3	andersonii	0.141113	2.38143	0.0172457	0.0183548	234.161	50.4214	37.951
ramosum-4_10	geraniifolium	andersonii	0.0379386	0.705658	0.480401	0.00464581	243.089	45.1319	41.8326
geraniifolium	sapellonis	andersonii	0.0201986	0.359924	0.718904	0.00231027	261.589	40.7311	39.1183
andersonii	scaposum	geraniifolium	0.302211	7.56859	3.77302e-14	0.0786697	185.867	126.16	67.6029
geraniifolium	scopulorum	andersonii	0.0828329	1.51182	0.130581	0.00786565	497.059	35.4501	30.0265
stachydeum	geraniifolium	andersonii	0.0612853	1.13123	0.257959	0.0125103	140.084	70.7717	62.5981
geraniifolium	andersonii	trolliifolium	0.0975686	2.21536	0.0267354	0.0247362	173.232	105.774	86.9682
